cloudcover_mean val_MAE,cloudcover_mean val_MAPE,cloudcover_mean val_RMSE,cloudcover_mean val_SMAPE,epoch,humidity_mean val_MAE,humidity_mean val_MAPE,humidity_mean val_RMSE,humidity_mean val_SMAPE,lr-AdamW,precip_sum val_MAE,precip_sum val_MAPE,precip_sum val_RMSE,precip_sum val_SMAPE,pressure_mean val_MAE,pressure_mean val_MAPE,pressure_mean val_RMSE,pressure_mean val_SMAPE,step,temp_max val_MAE,temp_max val_MAPE,temp_max val_RMSE,temp_max val_SMAPE,temp_min val_MAE,temp_min val_MAPE,temp_min val_RMSE,temp_min val_SMAPE,train_loss_epoch,train_loss_step,val_loss,wind_max val_MAE,wind_max val_MAPE,wind_max val_RMSE,wind_max val_SMAPE,wind_mean val_MAE,wind_mean val_MAPE,wind_mean val_RMSE,wind_mean val_SMAPE
,,,,10,,,,,,,,,,,,,,307,,,,,,,,,8.369131088256836,,,,,,,,,,
,,,,,,,,,0.001,,,,,,,,,308,,,,,,,,,,,,,,,,,,,
,,,,11,,,,,,,,,,,,,,309,,,,,,,,,,8.118924140930176,,,,,,,,,
,,,,11,,,,,,,,,,,,,,314,,,,,,,,,,7.991809368133545,,,,,,,,,
,,,,11,,,,,,,,,,,,,,319,,,,,,,,,,8.045743942260742,,,,,,,,,
,,,,11,,,,,,,,,,,,,,324,,,,,,,,,,8.151764869689941,,,,,,,,,
,,,,11,,,,,,,,,,,,,,329,,,,,,,,,,7.687885284423828,,,,,,,,,
,,,,11,,,,,,,,,,,,,,334,,,,,,,,,,7.8435163497924805,,,,,,,,,
0.7150587439537048,4010256.0,0.913750410079956,0.12485996633768082,11,5.331788063049316,0.08731982111930847,6.558170318603516,0.08024575561285019,,0.45724353194236755,395.0570983886719,1.2376978397369385,1.3056288957595825,0.9498946070671082,0.000937814183998853,1.342958927154541,0.0009370734333060682,335,1.4457788467407227,0.3546653985977173,2.011927843093872,0.3456064462661743,1.0155372619628906,0.4004134237766266,1.5246230363845825,0.31416139006614685,,,7.6118011474609375,0.4130971431732178,0.029605155810713768,0.5591943264007568,0.029951641336083412,1.3242987394332886,0.13230043649673462,1.5485738515853882,0.12998051941394806
,,,,11,,,,,,,,,,,,,,335,,,,,,,,,7.9965081214904785,,,,,,,,,,
,,,,,,,,,0.001,,,,,,,,,336,,,,,,,,,,,,,,,,,,,
,,,,12,,,,,,,,,,,,,,339,,,,,,,,,,7.815133094787598,,,,,,,,,
,,,,12,,,,,,,,,,,,,,344,,,,,,,,,,7.859333038330078,,,,,,,,,
,,,,12,,,,,,,,,,,,,,349,,,,,,,,,,7.944832801818848,,,,,,,,,
,,,,12,,,,,,,,,,,,,,354,,,,,,,,,,7.500154972076416,,,,,,,,,
,,,,12,,,,,,,,,,,,,,359,,,,,,,,,,7.430809020996094,,,,,,,,,
0.9102088809013367,7981034.5,1.1223804950714111,0.13943181931972504,12,5.606470584869385,0.09178420901298523,6.881494045257568,0.08397986739873886,,0.4572423994541168,286.4154968261719,1.2376978397369385,1.2697709798812866,0.7716383934020996,0.0007627676823176444,1.1949914693832397,0.0007621484692208469,363,1.447275996208191,0.34881821274757385,1.9372469186782837,0.3479790687561035,0.9657754302024841,0.36417508125305176,1.4478944540023804,0.3067868649959564,,,7.756557464599609,0.3851759433746338,0.028425969183444977,0.49380621314048767,0.028759805485606194,1.3174142837524414,0.129195436835289,1.5637975931167603,0.12844853103160858
,,,,12,,,,,,,,,,,,,,363,,,,,,,,,7.692079067230225,,,,,,,,,,
,,,,,,,,,0.001,,,,,,,,,364,,,,,,,,,,,,,,,,,,,
,,,,13,,,,,,,,,,,,,,364,,,,,,,,,,7.420212268829346,,,,,,,,,
,,,,13,,,,,,,,,,,,,,369,,,,,,,,,,7.731209754943848,,,,,,,,,
,,,,13,,,,,,,,,,,,,,374,,,,,,,,,,7.572293281555176,,,,,,,,,
,,,,13,,,,,,,,,,,,,,379,,,,,,,,,,7.614665985107422,,,,,,,,,
,,,,13,,,,,,,,,,,,,,384,,,,,,,,,,7.338263511657715,,,,,,,,,
,,,,13,,,,,,,,,,,,,,389,,,,,,,,,,7.619616508483887,,,,,,,,,
0.6765407919883728,6704065.5,0.8861933350563049,0.1266486942768097,13,5.5050506591796875,0.09053457528352737,6.746853351593018,0.08285447210073471,,0.4572417438030243,219.91188049316406,1.2376978397369385,1.2805858850479126,0.7400423884391785,0.0007323813624680042,1.0834020376205444,0.0007321636658161879,391,1.386070728302002,0.3525080978870392,1.8973722457885742,0.34194716811180115,0.9202530980110168,0.4064265787601471,1.3827921152114868,0.32575443387031555,,,7.59626579284668,0.35530757904052734,0.024882560595870018,0.5060523152351379,0.024665139615535736,1.295542597770691,0.12871430814266205,1.5408371686935425,0.12637771666049957
,,,,13,,,,,,,,,,,,,,391,,,,,,,,,7.4715776443481445,,,,,,,,,,
,,,,,,,,,0.001,,,,,,,,,392,,,,,,,,,,,,,,,,,,,
,,,,14,,,,,,,,,,,,,,394,,,,,,,,,,7.529634475708008,,,,,,,,,
,,,,14,,,,,,,,,,,,,,399,,,,,,,,,,7.149725914001465,,,,,,,,,
,,,,14,,,,,,,,,,,,,,404,,,,,,,,,,7.431602954864502,,,,,,,,,
,,,,14,,,,,,,,,,,,,,409,,,,,,,,,,7.465554237365723,,,,,,,,,
,,,,14,,,,,,,,,,,,,,414,,,,,,,,,,7.2486348152160645,,,,,,,,,
,,,,14,,,,,,,,,,,,,,419,,,,,,,,,,7.3820366859436035,,,,,,,,,
0.7936603426933289,3968282.25,0.9757657051086426,0.12905855476856232,14,4.769533157348633,0.07749579101800919,5.929533004760742,0.07200930267572403,,0.45724281668663025,325.4689636230469,1.2376978397369385,1.2932403087615967,0.7085461616516113,0.0006998868775554001,1.0239372253417969,0.0006994978175498545,419,1.2910847663879395,0.33505359292030334,1.7795203924179077,0.32286444306373596,0.7873191833496094,0.3271638751029968,1.2298473119735718,0.267991840839386,,,6.798056125640869,0.3486579954624176,0.024473659694194794,0.47281479835510254,0.024470828473567963,1.311773419380188,0.129542276263237,1.5384230613708496,0.12773101031780243
,,,,14,,,,,,,,,,,,,,419,,,,,,,,,7.303572654724121,,,,,,,,,,
,,,,,,,,,0.001,,,,,,,,,420,,,,,,,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,,424,,,,,,,,,,7.178195953369141,,,,,,,,,
,,,,15,,,,,,,,,,,,,,429,,,,,,,,,,7.259666919708252,,,,,,,,,
,,,,15,,,,,,,,,,,,,,434,,,,,,,,,,7.157389163970947,,,,,,,,,
,,,,15,,,,,,,,,,,,,,439,,,,,,,,,,7.0797200202941895,,,,,,,,,
,,,,15,,,,,,,,,,,,,,444,,,,,,,,,,6.803598403930664,,,,,,,,,
0.524603545665741,1497752.875,0.6912119388580322,0.12061053514480591,15,4.963752269744873,0.08081609010696411,6.139774799346924,0.07466334104537964,,0.4572424590587616,288.8282165527344,1.2376978397369385,1.2654889822006226,0.6641024947166443,0.0006560373003594577,0.9731456637382507,0.0006557412561960518,447,1.2854927778244019,0.3535381257534027,1.780293583869934,0.32752373814582825,0.7534818649291992,0.27458059787750244,1.184539556503296,0.23426829278469086,,,6.843576908111572,0.3843771517276764,0.027499401941895485,0.50139981508255,0.027826130390167236,1.2942472696304321,0.12826406955718994,1.5282138586044312,0.12631011009216309
,,,,15,,,,,,,,,,,,,,447,,,,,,,,,7.145641326904297,,,,,,,,,,
,,,,,,,,,0.001,,,,,,,,,448,,,,,,,,,,,,,,,,,,,
,,,,16,,,,,,,,,,,,,,449,,,,,,,,,,6.741299629211426,,,,,,,,,
,,,,16,,,,,,,,,,,,,,454,,,,,,,,,,6.8446526527404785,,,,,,,,,
,,,,16,,,,,,,,,,,,,,459,,,,,,,,,,7.0479841232299805,,,,,,,,,
,,,,16,,,,,,,,,,,,,,464,,,,,,,,,,7.051061153411865,,,,,,,,,
,,,,16,,,,,,,,,,,,,,469,,,,,,,,,,6.80317497253418,,,,,,,,,
,,,,16,,,,,,,,,,,,,,474,,,,,,,,,,6.799768447875977,,,,,,,,,
0.5789201259613037,3742618.0,0.7519404292106628,0.1431780457496643,16,5.034755229949951,0.08210212737321854,6.2290358543396,0.07565145939588547,,0.4572420120239258,239.30810546875,1.2376978397369385,1.2315306663513184,0.5712736248970032,0.0005647543584927917,0.8951751589775085,0.0005644261837005615,475,1.2433874607086182,0.323758989572525,1.702239990234375,0.31463322043418884,0.7869341969490051,0.32084643840789795,1.2004071474075317,0.2685886323451996,,,6.854737758636475,0.3236696124076843,0.023229675367474556,0.43503251671791077,0.023361770436167717,1.2823141813278198,0.1284925937652588,1.5223275423049927,0.125276580452919
,,,,16,,,,,,,,,,,,,,475,,,,,,,,,6.950436115264893,,,,,,,,,,
,,,,,,,,,0.001,,,,,,,,,476,,,,,,,,,,,,,,,,,,,
,,,,17,,,,,,,,,,,,,,479,,,,,,,,,,6.83359432220459,,,,,,,,,
,,,,17,,,,,,,,,,,,,,484,,,,,,,,,,6.754255294799805,,,,,,,,,
,,,,17,,,,,,,,,,,,,,489,,,,,,,,,,6.991415023803711,,,,,,,,,
,,,,17,,,,,,,,,,,,,,494,,,,,,,,,,6.6528825759887695,,,,,,,,,
,,,,17,,,,,,,,,,,,,,499,,,,,,,,,,6.784287929534912,,,,,,,,,
0.5150287747383118,3273183.25,0.6896572709083557,0.11526326090097427,17,4.870804786682129,0.07864067703485489,5.989054203033447,0.07311517745256424,,0.45724281668663025,328.3729553222656,1.2376978397369385,1.264005184173584,0.5924170017242432,0.0005856389761902392,0.884937047958374,0.0005853960756212473,503,1.1944109201431274,0.3240445554256439,1.6553211212158203,0.3030546009540558,0.8129916787147522,0.34461021423339844,1.2421287298202515,0.2919573485851288,,,6.568305969238281,0.3191929757595062,0.022816596552729607,0.418077677488327,0.022951314225792885,1.3162094354629517,0.1288575977087021,1.5435618162155151,0.12755019962787628
,,,,17,,,,,,,,,,,,,,503,,,,,,,,,6.794704437255859,,,,,,,,,,
,,,,,,,,,0.001,,,,,,,,,504,,,,,,,,,,,,,,,,,,,
,,,,18,,,,,,,,,,,,,,504,,,,,,,,,,6.754514694213867,,,,,,,,,
,,,,18,,,,,,,,,,,,,,509,,,,,,,,,,6.650026321411133,,,,,,,,,
,,,,18,,,,,,,,,,,,,,514,,,,,,,,,,6.821037292480469,,,,,,,,,
,,,,18,,,,,,,,,,,,,,519,,,,,,,,,,6.743525505065918,,,,,,,,,
,,,,18,,,,,,,,,,,,,,524,,,,,,,,,,6.397704124450684,,,,,,,,,
,,,,18,,,,,,,,,,,,,,529,,,,,,,,,,6.881944179534912,,,,,,,,,
0.5016726851463318,5470390.0,0.6808603405952454,0.12177479267120361,18,5.278030872344971,0.08611172437667847,6.52502965927124,0.07901419699192047,,0.4572407901287079,123.07366180419922,1.2376978397369385,1.2073720693588257,0.4776777923107147,0.00047248220653273165,0.7264408469200134,0.00047230510972440243,531,1.158028483390808,0.32016244530677795,1.5663319826126099,0.3038775622844696,0.6666092872619629,0.26797130703926086,1.01465904712677,0.23401474952697754,,,6.716015338897705,0.3950808048248291,0.028809165582060814,0.47354450821876526,0.029283074662089348,1.2518435716629028,0.12552304565906525,1.4984818696975708,0.12220987677574158
,,,,18,,,,,,,,,,,,,,531,,,,,,,,,6.635456562042236,,,,,,,,,,
,,,,,,,,,0.001,,,,,,,,,532,,,,,,,,,,,,,,,,,,,
,,,,19,,,,,,,,,,,,,,534,,,,,,,,,,6.614227294921875,,,,,,,,,
,,,,19,,,,,,,,,,,,,,539,,,,,,,,,,6.6031646728515625,,,,,,,,,
,,,,19,,,,,,,,,,,,,,544,,,,,,,,,,6.422195911407471,,,,,,,,,
,,,,19,,,,,,,,,,,,,,549,,,,,,,,,,6.175058841705322,,,,,,,,,
,,,,19,,,,,,,,,,,,,,554,,,,,,,,,,6.780176639556885,,,,,,,,,
,,,,19,,,,,,,,,,,,,,559,,,,,,,,,,6.445362091064453,,,,,,,,,
